Epoch,stable_rank_layer_0,effective_rank_layer_0,spectral_norm_layer_0,condition_number_layer_0,stable_rank_layer_1,effective_rank_layer_1,spectral_norm_layer_1,condition_number_layer_1,stable_rank_layer_2,effective_rank_layer_2,spectral_norm_layer_2,condition_number_layer_2,stable_rank_layer_3,effective_rank_layer_3,spectral_norm_layer_3,condition_number_layer_3,stable_rank_layer_4,effective_rank_layer_4,spectral_norm_layer_4,condition_number_layer_4,end_to_end_bound
0,1.8579224348068237,1.994154930114746,5.217366695404053,1.0796326398849487,76.424072265625,182.3280792236328,0.07023289054632187,382.3939514160156,77.54183959960938,182.58917236328125,0.06963837891817093,390.44232177734375,77.78324127197266,181.763671875,0.06917043030261993,863.8759155273438,1.0032005310058594,1.0240147113800049,0.9032908082008362,25.52188491821289,4081.582609639228
500,1.9058080911636353,1.9975578784942627,6.041671276092529,1.0507076978683472,27.08266830444336,150.51760864257812,0.35863590240478516,1769.494873046875,12.625048637390137,130.67222595214844,0.5673918724060059,5738.31689453125,11.880012512207031,90.00515747070312,0.8384109139442444,22859.705078125,1.0319650173187256,1.1636680364608765,0.37621715664863586,14.117141723632812,992726.1256168896
1000,1.907065749168396,1.9976258277893066,6.040408134460449,1.0499789714813232,28.833412170410156,150.68722534179688,0.3614938259124756,4936.56396484375,19.51299476623535,142.40394592285156,0.4581355154514313,4294.42919921875,16.324947357177734,119.26981353759766,0.820482611656189,66881.3046875,1.0390350818634033,1.197271466255188,0.3658300042152405,10.733587265014648,768687.46171831
1500,1.9075047969818115,1.9976491928100586,6.040402412414551,1.04972505569458,30.408706665039062,149.609130859375,0.3642313480377197,896.8271484375,23.166431427001953,145.63755798339844,0.42776957154273987,1685.5401611328125,21.580791473388672,136.9360809326172,0.8129741549491882,40161.3984375,1.044084072113037,1.2204481363296509,0.36161383986473083,9.309113502502441,708296.0673725351
2000,1.9077684879302979,1.997663140296936,6.040932655334473,1.0495725870132446,31.358516693115234,148.5264434814453,0.3677217662334442,3123.883544921875,25.025545120239258,147.2205047607422,0.419435977935791,865.1604614257812,26.084402084350586,146.49362182617188,0.8166630864143372,29053.2890625,1.048182487487793,1.238737940788269,0.35843926668167114,8.478474617004395,698212.2802887049
2500,1.908161997795105,1.997684121131897,6.040487766265869,1.0493451356887817,32.268798828125,147.82383728027344,0.36985814571380615,1176.6641845703125,25.491504669189453,147.93214416503906,0.42114225029945374,3781.132080078125,28.653257369995117,149.99850463867188,0.8123594522476196,19678.62109375,1.0518239736557007,1.2542448043823242,0.35693690180778503,7.996289253234863,698418.3856883965
3000,1.9082326889038086,1.997687816619873,6.040473937988281,1.0493042469024658,32.752838134765625,147.30673217773438,0.37212708592414856,1651.9522705078125,25.684179306030273,148.16384887695312,0.42118990421295166,1301.8651123046875,29.15935516357422,150.07827758789062,0.7837516665458679,20887.712890625,1.055059790611267,1.267930269241333,0.35637378692626953,7.602694034576416,676962.23887597
3500,1.908189296722412,1.997685432434082,6.040573596954346,1.0493292808532715,32.94890213012695,147.13319396972656,0.37341272830963135,2795.77734375,25.712570190429688,148.21810913085938,0.4211745262145996,3298.87646484375,29.16390037536621,150.2567138671875,0.7832155227661133,67981.40625,1.0568499565124512,1.2756433486938477,0.35604342818260193,7.3574299812316895,678193.4937454574
4000,1.9082106351852417,1.9976866245269775,6.040633678436279,1.0493170022964478,33.094825744628906,147.245849609375,0.3733830451965332,57477.58203125,25.772613525390625,148.2752227783203,0.4210090935230255,1123.155517578125,29.38401985168457,150.41529846191406,0.7875188589096069,24981.90234375,1.0577284097671509,1.2793781757354736,0.3562510907649994,7.250185489654541,682002.0816051064
4500,1.9082083702087402,1.9976866245269775,6.040643692016602,1.0493184328079224,33.10733413696289,147.4068603515625,0.37370872497558594,32561.12109375,25.770658493041992,148.27444458007812,0.42120808362960815,1267.7354736328125,29.45094871520996,150.44354248046875,0.7904189825057983,192893.0,1.0581202507019043,1.2810014486312866,0.35661932826042175,7.211918354034424,686144.1405169037
4999,1.9082045555114746,1.9976862668991089,6.040648460388184,1.0493204593658447,33.1181640625,147.4854736328125,0.373799204826355,9158.1787109375,25.7576904296875,148.2701416015625,0.4213504493236542,1264.2698974609375,29.440279006958008,150.4192352294922,0.7914508581161499,47836.90234375,1.0581821203231812,1.2812575101852417,0.3566831052303314,7.2059645652771,687561.9830210335
