epoch,loss,full_psnr,ssim,lpips,train_psnr,learning_rate,stable_rank/layer_0,effective_rank/layer_0,spectral_norm/layer_0,condition_number/layer_0,stable_rank/layer_1,effective_rank/layer_1,spectral_norm/layer_1,condition_number/layer_1,stable_rank/layer_2,effective_rank/layer_2,spectral_norm/layer_2,condition_number/layer_2,stable_rank/layer_3,effective_rank/layer_3,spectral_norm/layer_3,condition_number/layer_3,stable_rank/layer_4,effective_rank/layer_4,spectral_norm/layer_4,condition_number/layer_4,end_to_end_bound
0,0.3530925512313843,4.550225257873535,-0.012418966740369797,,4.584107875823975,0.0009999999014026553,1.8602336645126343,1.994357705116272,5.161684513092041,1.078181266784668,67.85791778564453,173.8268280029297,0.08243374526500702,834.009033203125,6.084427356719971,119.93765258789062,0.27832987904548645,14639.974609375,5.668935298919678,114.93208312988281,0.2850574254989624,1770.9429931640625,2.1151506900787354,2.876753568649292,0.0481332466006279,1.3675504922866821,inf
500,0.0010408959351480007,23.453920364379883,0.5201596617698669,,29.917755126953125,0.0009754556526527767,1.8609575033187866,1.9944202899932861,5.161191463470459,1.0777279138565063,13.858200073242188,145.9696044921875,0.38416337966918945,860.7915649414062,1.447031855583191,8.501354217529297,1.6996757984161377,20154.42578125,1.8762736320495605,16.491729736328125,1.0902739763259888,13060.0146484375,1.4978364706039429,2.352557420730591,0.22258037328720093,2.31850266456604,inf
1000,0.0006243179086595774,23.95806121826172,0.5549324154853821,,32.19731140136719,0.000904419435410629,1.8609275817871094,1.994417667388916,5.161210060119629,1.0777466297149658,14.01550579071045,146.72886657714844,0.38274797797203064,2039.3509521484375,1.4980337619781494,9.769312858581543,1.6284862756729126,6050.71875,1.9397518634796143,18.23990821838379,1.0679006576538086,16332.7490234375,1.5492069721221924,2.4259767532348633,0.21911871433258057,2.178509473800659,inf
1500,0.0006395997479557991,23.83774185180664,0.5505891442298889,,31.737991333007812,0.0007938447695582991,1.860883116722107,1.9944138526916504,5.161172866821289,1.0777745246887207,14.09323787689209,147.14210510253906,0.38250818848609924,1651.8092041015625,1.5386266708374023,10.822428703308105,1.578004002571106,5129.6865234375,2.020704746246338,20.42192840576172,1.0451754331588745,104423.9765625,1.5755765438079834,2.460347890853882,0.21878208220005035,2.1174254417419434,inf
2000,0.0004619412065949291,23.925369262695312,0.5545946955680847,,33.03287124633789,0.0006545554738084113,1.8609204292297363,1.9944168329238892,5.161131858825684,1.0777511596679688,14.121156692504883,147.28826904296875,0.3821427822113037,401688.84375,1.563596248626709,11.485522270202637,1.5487754344940186,21020.044921875,2.087871551513672,22.300411224365234,1.0321953296661377,23661.220703125,1.580977201461792,2.466444730758667,0.22142934799194336,2.1101410388946533,inf
2500,0.0002686477091629058,24.08957290649414,0.554620087146759,,35.8714714050293,0.0005001861549145554,1.8609070777893066,1.9944159984588623,5.1611480712890625,1.0777596235275269,14.129129409790039,147.3604736328125,0.38220518827438354,4389.078125,1.5765184164047241,11.834834098815918,1.5355520248413086,5700.22119140625,2.1340150833129883,23.61566734313965,1.0280179977416992,44914.7265625,1.5762426853179932,2.4603588581085205,0.22495503723621368,2.1214382648468018,inf
3000,0.0002778810739982873,23.919490814208984,0.5335970520973206,,35.20517349243164,0.00034584755736434975,1.8609130382537842,1.9944164752960205,5.161162853240967,1.0777558088302612,14.156328201293945,147.4704132080078,0.3821689188480377,4020.17333984375,1.5807870626449585,11.954182624816895,1.5333495140075684,9091.669921875,2.16562819480896,24.53501319885254,1.0330413579940796,19748.20703125,1.5668340921401978,2.4488275051116943,0.22968867421150208,2.1394100189208984,inf
3500,0.00014699417806696147,23.81806182861328,0.518954336643219,,38.14854431152344,0.0002066474184262493,1.8609099388122559,1.9944161176681519,5.161177158355713,1.0777578353881836,14.16932201385498,147.54510498046875,0.3819635212421417,1687.5338134765625,1.5812008380889893,11.969537734985352,1.5355067253112793,25435.078125,2.1855499744415283,25.135292053222656,1.040295124053955,137935.53125,1.5566123723983765,2.4359240531921387,0.2341589629650116,2.160170078277588,inf
4000,0.00010684793960535899,23.598039627075195,0.4955573081970215,,39.71246337890625,9.621161756391294e-05,1.8609057664871216,1.9944156408309937,5.161186695098877,1.0777603387832642,14.178360939025879,147.59437561035156,0.3818592429161072,1882.9195556640625,1.5797230005264282,11.932965278625488,1.5396069288253784,862951.5,2.1988747119903564,25.53751564025879,1.048079490661621,22015.828125,1.5441796779632568,2.4197897911071777,0.23895728588104248,2.1865854263305664,inf
4500,0.00010223007848253474,23.49483299255371,0.48517560958862305,,39.904380798339844,2.535038041721489e-05,1.8609020709991455,1.994415521621704,5.161197662353516,1.0777626037597656,14.182912826538086,147.61203002929688,0.381831556558609,2222.04052734375,1.5790936946868896,11.917975425720215,1.5412476062774658,30065.548828125,2.2043631076812744,25.70497703552246,1.0512993335723877,54118.94921875,1.5380343198776245,2.4116499423980713,0.2411205917596817,2.2000248432159424,inf
4999,0.00010148646833840758,23.4775447845459,0.483466237783432,,39.93592834472656,1e-06,1.8609015941619873,1.9944151639938354,5.161198139190674,1.0777629613876343,14.183989524841309,147.61520385742188,0.3818223774433136,2342.588623046875,1.5789788961410522,11.915245056152344,1.541529655456543,28756.01171875,2.205366849899292,25.735145568847656,1.0518121719360352,44066.4921875,1.5369975566864014,2.4102673530578613,0.24148693680763245,2.2023048400878906,inf
