epoch,loss,full_psnr,ssim,lpips,train_psnr,learning_rate_muon,learning_rate_aux,auto_cos_inc/current_rank,auto_cos_inc/current_target_rank,auto_cos_inc/rank_floor,auto_cos_inc/rank_start,auto_cos_inc/rank_end,auto_cos_inc/rank_warmup_steps,auto_cos_inc/auto_rank_start_final,auto_cos_inc/current_method,rank_wsd_phase,rank_wsd_phase_name,rank_wsd_lr_ratio,rank_wsd_N_rand,stable_rank/layer_0,effective_rank/layer_0,spectral_norm/layer_0,condition_number/layer_0,stable_rank/layer_1,effective_rank/layer_1,spectral_norm/layer_1,condition_number/layer_1,stable_rank/layer_2,effective_rank/layer_2,spectral_norm/layer_2,condition_number/layer_2,stable_rank/layer_3,effective_rank/layer_3,spectral_norm/layer_3,condition_number/layer_3,stable_rank/layer_4,effective_rank/layer_4,spectral_norm/layer_4,condition_number/layer_4,end_to_end_bound
0,0.10259110480546951,13.506340026855469,0.360432893037796,,13.93431568145752,0.003,0.03,150,250,100,150,250,3333,,cosine_inc_closed_form,0,stable,1.0,1,1.8688801527023315,1.9950796365737915,7.337924957275391,1.072803258895874,77.874755859375,182.54983520507812,1.133307695388794,1150.2762451171875,76.5157241821289,182.20779418945312,1.1452022790908813,3833.341064453125,75.48474884033203,181.2825927734375,1.1517854928970337,597.5103759765625,1.8438125848770142,2.732680082321167,0.9155458807945251,1.6056042909622192,10.042804871574631
500,0.004718554671853781,20.476512908935547,0.4585327208042145,,23.23016929626465,0.003,0.03,155,250,100,150,250,3333,,cosine_inc_closed_form,0,stable,1.0,1,1.5901809930801392,1.93394136428833,15.66353988647461,1.3016893863677979,69.11195373535156,170.94969177246094,1.5865534543991089,711.1657104492188,67.4520263671875,168.87277221679688,1.591532826423645,4829.55859375,58.84619903564453,169.20269775390625,1.5557024478912354,1174.9783935546875,1.2659387588500977,1.7994133234024048,6.029667854309082,5.809749126434326,371.0053323490201
1000,0.0034616191405802965,21.126230239868164,0.4672313630580902,,24.527957916259766,0.003,0.03,171,250,100,150,250,3333,,cosine_inc_closed_form,0,stable,1.0,1,1.594787836074829,1.9357811212539673,17.662954330444336,1.2966386079788208,60.969661712646484,151.84786987304688,2.3429923057556152,17334.98046875,60.265472412109375,151.51776123046875,2.3112828731536865,2178.49951171875,47.142452239990234,144.5284423828125,2.116363286972046,9300.943359375,1.2342301607131958,1.7239902019500732,7.089677810668945,6.773911952972412,1435.1722482053376
1500,0.006210965104401112,19.832035064697266,0.4533103406429291,,22.068134307861328,0.003,0.03,192,250,100,150,250,3333,,cosine_inc_closed_form,0,stable,1.0,1,1.696742057800293,1.968139886856079,21.896560668945312,1.1980197429656982,58.271446228027344,144.7452850341797,2.8298394680023193,19989.318359375,58.241851806640625,145.2447509765625,2.750491142272949,2479.7880859375,43.5574951171875,138.34353637695312,2.458547830581665,808.4324340820312,1.221108078956604,1.7361350059509277,10.829923629760742,5.37046480178833,4537.8695891804655
2000,0.004125811625272036,20.835308074951172,0.46406158804893494,,23.921619415283203,0.003,0.03,215,250,100,150,250,3333,,cosine_inc_closed_form,0,stable,1.0,1,1.6939728260040283,1.9674510955810547,22.012544631958008,1.2004077434539795,58.047767639160156,145.2861785888672,3.3096609115600586,3483.444580078125,56.353736877441406,143.87899780273438,3.1862070560455322,784.0582885742188,40.756385803222656,134.94351196289062,2.72200083732605,945.2933349609375,1.2214994430541992,1.7335108518600464,11.006775856018066,5.481110095977783,6954.663512506532
2500,0.003440465312451124,21.17107582092285,0.46875980496406555,,24.636680603027344,0.003,0.03,235,250,100,150,250,3333,,cosine_inc_closed_form,0,stable,1.0,1,1.6935163736343384,1.967336654663086,22.093887329101562,1.2008026838302612,57.83436584472656,143.73590087890625,3.9548826217651367,19775.751953125,54.049224853515625,138.79588317871094,3.7659318447113037,2025.72021484375,35.515289306640625,127.37154388427734,3.1195483207702637,1333.9127197265625,1.2113699913024902,1.7095693349838257,11.28334903717041,5.643933296203613,11582.64989279277
3000,0.0030749598518013954,21.379623413085938,0.47234201431274414,,25.106725692749023,0.003,0.03,248,250,100,150,250,3333,,cosine_inc_closed_form,0,stable,1.0,1,1.693557620048523,1.9673469066619873,22.164613723754883,1.2007668018341064,58.3296012878418,140.1110382080078,4.577400207519531,2640.909423828125,51.243896484375,132.26942443847656,4.384432792663574,2345.78271484375,31.436260223388672,119.67481231689453,3.5160961151123047,1488.0478515625,1.19877028465271,1.681369662284851,11.454266548156738,5.768868446350098,17915.1518165506
3500,0.0028515802696347237,21.519634246826172,0.4737373888492584,,25.46506118774414,0.0027293517406962787,0.027293517406962786,250,250,100,150,250,3333,,cosine_inc_closed_form,1,linear_decay,0.9097839135654262,1,1.6938337087631226,1.9674161672592163,22.249099731445312,1.2005281448364258,57.6302375793457,136.20372009277344,5.197423458099365,1857.5186767578125,48.85467529296875,126.24120330810547,4.9649739265441895,13769.767578125,28.714628219604492,113.37408447265625,3.854065179824829,3341.22802734375,1.1921073198318481,1.665866494178772,11.527505874633789,5.84517240524292,25507.736648296624
4000,0.0025665932334959507,21.692209243774414,0.4772489368915558,,25.906997680664062,0.001919027611044418,0.01919027611044418,250,250,100,150,250,3333,,cosine_inc_closed_form,1,linear_decay,0.6396758703481393,1,1.6945668458938599,1.9675995111465454,22.32721519470215,1.1998941898345947,56.51230239868164,133.3908233642578,5.702420234680176,3040.402587890625,47.63086700439453,122.20999908447266,5.399172306060791,3592.876953125,27.688629150390625,108.74803161621094,4.070645809173584,3652.211669921875,1.1875677108764648,1.653934121131897,11.710958480834961,5.950887680053711,32770.02115429773
4500,0.0023519634269177914,21.835769653320312,0.4804729223251343,,26.287946701049805,0.001108703481392557,0.01108703481392557,250,250,100,150,250,3333,,cosine_inc_closed_form,1,linear_decay,0.36956782713085234,1,1.6940721273422241,1.9674760103225708,22.398862838745117,1.2003217935562134,56.14045333862305,131.6653289794922,6.003468036651611,11907.416015625,46.855926513671875,119.92987060546875,5.688268184661865,6640.521484375,26.79241943359375,105.36752319335938,4.2509613037109375,3425.694091796875,1.1830805540084839,1.6416798830032349,11.955530166625977,6.076054573059082,38874.44736307735
