Epoch,stable_rank_layer_0,effective_rank_layer_0,spectral_norm_layer_0,condition_number_layer_0,stable_rank_layer_1,effective_rank_layer_1,spectral_norm_layer_1,condition_number_layer_1,stable_rank_layer_2,effective_rank_layer_2,spectral_norm_layer_2,condition_number_layer_2,stable_rank_layer_3,effective_rank_layer_3,spectral_norm_layer_3,condition_number_layer_3,stable_rank_layer_4,effective_rank_layer_4,spectral_norm_layer_4,condition_number_layer_4,end_to_end_bound
0,1.8423250913619995,1.9926795959472656,5.235074043273926,1.0895825624465942,76.6063232421875,182.1742706298828,0.07009200751781464,627.593994140625,77.27002716064453,182.39895629882812,0.06975222378969193,423.8129577636719,77.75418090820312,181.7196502685547,0.06915894150733948,1338.00341796875,1.011890172958374,1.073778510093689,0.8993347883224487,16.441452026367188,inf
500,1.9322290420532227,1.9987698793411255,6.277980804443359,1.0357112884521484,40.79623031616211,155.06224060058594,0.41366085410118103,2209.976318359375,27.52303123474121,147.1719970703125,0.8080788254737854,2566.60546875,29.536052703857422,126.37774658203125,0.9821080565452576,15730.365234375,1.3327287435531616,1.883857250213623,0.5166216492652893,6.020596981048584,inf
1000,1.9328469038009644,1.9987930059432983,6.273779392242432,1.0353680849075317,39.981693267822266,156.25843811035156,0.4122094213962555,1242.229736328125,32.98054885864258,158.3717803955078,0.8389592170715332,4318.91455078125,35.683876037597656,142.7802276611328,0.9959121346473694,42648.5,1.5717812776565552,2.3573641777038574,0.5318566560745239,2.6792616844177246,inf
1500,1.9328240156173706,1.9987921714782715,6.2722930908203125,1.0353808403015137,39.860694885253906,156.4381103515625,0.411129355430603,5110.49951171875,37.61323928833008,163.7618865966797,0.8715705871582031,4804.67578125,40.90391540527344,152.3974151611328,1.0176503658294678,24982.935546875,1.4959423542022705,2.295408248901367,0.5666170120239258,2.6976301670074463,inf
2000,1.9325780868530273,1.998782992362976,6.272200107574463,1.0355173349380493,39.58662796020508,156.29159545898438,0.41267257928848267,3610.07666015625,41.439109802246094,167.0810089111328,0.8992934823036194,10476.5,44.300071716308594,157.64093017578125,1.0484156608581543,64617.9140625,1.442798137664795,2.236778974533081,0.5805609226226807,2.7267682552337646,inf
2500,1.9327064752578735,1.9987878799438477,6.271674633026123,1.0354461669921875,40.03936767578125,156.3231964111328,0.41120922565460205,1425.8782958984375,45.07044219970703,168.33363342285156,0.9132307767868042,42821.24609375,47.20564270019531,160.49462890625,1.0675019025802612,3702660.75,1.4045037031173706,2.1645967960357666,0.5895035862922668,2.9498324394226074,inf
3000,1.9328323602676392,1.9987925291061401,6.271321773529053,1.0353763103485107,40.74006271362305,156.09600830078125,0.4091951251029968,1099.601318359375,46.03947448730469,169.06793212890625,0.9338390827178955,9125.2861328125,48.25719451904297,161.89035034179688,1.0873149633407593,29408.830078125,1.3997125625610352,2.1557459831237793,0.5955808758735657,2.975817918777466,inf
3500,1.9327976703643799,1.9987910985946655,6.271346569061279,1.0353953838348389,41.103660583496094,156.17626953125,0.40733101963996887,497.85736083984375,46.226905822753906,168.8935546875,0.9329068660736084,1242.4239501953125,48.89258575439453,162.37596130371094,1.095326542854309,32039.177734375,1.4043375253677368,2.1616904735565186,0.6017042994499207,2.9741904735565186,inf
4000,1.9328004121780396,1.9987914562225342,6.271283149719238,1.0353939533233643,41.19453430175781,156.21180725097656,0.4067789316177368,455.9440612792969,46.29457092285156,168.77731323242188,0.922060489654541,763.5971069335938,49.15143585205078,162.74273681640625,1.0978400707244873,1790150.75,1.4039430618286133,2.1608285903930664,0.609294593334198,2.9775757789611816,inf
4500,1.9328070878982544,1.9987915754318237,6.271322727203369,1.0353902578353882,41.18534469604492,156.21664428710938,0.40688663721084595,424.8329772949219,46.5063591003418,168.84603881835938,0.9215220212936401,16405.857421875,49.2503662109375,162.88194274902344,1.097429871559143,6355.15673828125,1.4028966426849365,2.16133713722229,0.6127078533172607,2.961207866668701,inf
4999,1.9328043460845947,1.9987914562225342,6.271319389343262,1.0353916883468628,41.189273834228516,156.21710205078125,0.4068654775619507,420.712890625,46.489742279052734,168.85296630859375,0.9217591881752014,6707.1552734375,49.24448776245117,162.81492614746094,1.0966302156448364,6173.00048828125,1.403218388557434,2.1623189449310303,0.613361120223999,2.9559454917907715,inf
