Epoch,stable_rank_layer_0,effective_rank_layer_0,spectral_norm_layer_0,condition_number_layer_0,stable_rank_layer_1,effective_rank_layer_1,spectral_norm_layer_1,condition_number_layer_1,stable_rank_layer_2,effective_rank_layer_2,spectral_norm_layer_2,condition_number_layer_2,stable_rank_layer_3,effective_rank_layer_3,spectral_norm_layer_3,condition_number_layer_3,stable_rank_layer_4,effective_rank_layer_4,spectral_norm_layer_4,condition_number_layer_4,end_to_end_bound
0,1.8816859722137451,1.996047854423523,7.323938369750977,1.0649839639663696,77.88713836669922,182.5537567138672,1.1332200765609741,1083.93359375,76.51826477050781,182.21014404296875,1.1451866626739502,7959.6513671875,75.47122955322266,181.28318786621094,1.1518805027008057,621.4228515625,1.843206763267517,2.7322332859039307,0.916016161441803,1.606420636177063,10.028726461447858
500,1.7418771982192993,1.9780806303024292,18.97321128845215,1.1610045433044434,57.24789047241211,167.14077758789062,1.5315405130386353,2056.752685546875,52.741512298583984,166.62075805664062,1.581375241279602,3677.135009765625,51.2873420715332,169.8173828125,1.5178112983703613,893.731201171875,1.074920415878296,1.3102335929870605,9.778637886047363,13.992487907409668,682.0251863539338
1000,1.706503987312317,1.9704928398132324,23.263818740844727,1.1897143125534058,39.574371337890625,136.67227172851562,2.3053905963897705,5524.55908203125,38.62518310546875,134.8452911376953,2.2989397048950195,1131.401611328125,33.277503967285156,139.93589782714844,2.165968418121338,3494.289306640625,1.0634890794754028,1.269415020942688,12.435990333557129,17.19649314880371,3321.127888116435
1500,1.7077840566635132,1.9707927703857422,24.959381103515625,1.1886379718780518,36.13919448852539,121.98811340332031,2.7989895343780518,1174.3529052734375,34.53847885131836,120.343017578125,2.864488124847412,2957.430908203125,25.932435989379883,120.64012145996094,2.7451164722442627,1638.440185546875,1.0552221536636353,1.2404413223266602,13.844317436218262,19.342466354370117,7605.266510061708
2000,1.7075198888778687,1.9707311391830444,26.04292106628418,1.1888598203659058,33.59728240966797,114.80040740966797,3.2134594917297363,2386.6220703125,33.381736755371094,113.97592163085938,3.300999164581299,707.6839599609375,22.937931060791016,109.8995132446289,3.18841290473938,7904.150390625,1.0529413223266602,1.2314730882644653,14.57088565826416,21.027799606323242,12834.189489039867
2500,1.7125426530838013,1.9718905687332153,26.79580307006836,1.1846622228622437,32.24818420410156,110.24224090576172,3.547720432281494,2286.940673828125,33.8817024230957,111.17578125,3.6166880130767822,3946.2099609375,21.288394927978516,103.97978973388672,3.539665460586548,3066.454833984375,1.0519087314605713,1.227578043937683,15.147708892822266,21.658252716064453,18434.713044508022
3000,1.729325532913208,1.9755510091781616,28.53931427001953,1.170952558517456,31.27305793762207,108.84711456298828,3.741690158843994,1646.421630859375,34.74340057373047,111.68560028076172,3.7470550537109375,1663.1640625,21.616966247558594,103.18030548095703,3.6240639686584473,1836.1995849609375,1.0642142295837402,1.2677781581878662,16.697179794311523,20.78192138671875,24212.543170369878
3500,1.7252761125564575,1.9746973514556885,28.60118865966797,1.174216866493225,29.223731994628906,107.3658218383789,4.105897426605225,1776.928466796875,32.4351692199707,110.31764221191406,4.082311630249023,4874.478515625,21.8985538482666,102.11197662353516,3.735426425933838,2909.350341796875,1.070457100868225,1.286489725112915,16.985567092895508,21.19805908203125,30417.15357812489
4000,1.7225995063781738,1.9741228818893433,28.685155868530273,1.1763896942138672,27.329490661621094,105.70262908935547,4.476696014404297,3713.340087890625,30.910945892333984,108.6255111694336,4.399301528930664,32627.615234375,21.724191665649414,100.57471466064453,3.89821457862854,1354.6583251953125,1.0685036182403564,1.2804261445999146,17.406360626220703,21.390806198120117,38332.952157436914
4500,1.7216087579727173,1.9739083051681519,28.736421585083008,1.1771968603134155,26.841720581054688,104.7520523071289,4.652645587921143,50767.421875,30.470827102661133,107.56705474853516,4.592145919799805,2173.30419921875,21.402219772338867,98.91785430908203,4.054914951324463,4095.85693359375,1.0666942596435547,1.2752141952514648,17.780550003051758,21.030298233032227,44266.50949958866
4999,1.721555233001709,1.9738966226577759,28.764507293701172,1.1772406101226807,26.632171630859375,104.18033599853516,4.762656211853027,17712.19921875,30.506099700927734,107.05086517333984,4.6968207359313965,1458.5283203125,21.39157485961914,97.7668228149414,4.1463942527771,9387.4912109375,1.0657321214675903,1.2725366353988647,18.01380157470703,20.71121597290039,48060.26112176592
