Epoch,stable_rank_layer_0,effective_rank_layer_0,spectral_norm_layer_0,condition_number_layer_0,stable_rank_layer_1,effective_rank_layer_1,spectral_norm_layer_1,condition_number_layer_1,stable_rank_layer_2,effective_rank_layer_2,spectral_norm_layer_2,condition_number_layer_2,stable_rank_layer_3,effective_rank_layer_3,spectral_norm_layer_3,condition_number_layer_3,stable_rank_layer_4,effective_rank_layer_4,spectral_norm_layer_4,condition_number_layer_4,end_to_end_bound
0,1.8759571313858032,1.9956294298171997,7.388733386993408,1.0684608221054077,77.89934539794922,182.5574951171875,1.1331591606140137,911.2376708984375,76.5495834350586,182.2117919921875,1.1449017524719238,70548.8046875,75.4622573852539,181.29373168945312,1.1526312828063965,670.418701171875,1.8564822673797607,2.735804796218872,0.6378897428512573,1.6319704055786133,1127678.06757244
500,1.8680933713912964,1.99501633644104,8.260814666748047,1.0732892751693726,77.36078643798828,181.64695739746094,1.1572425365447998,386.14892578125,74.16357421875,179.66798400878906,1.1588326692581177,441.6246032714844,68.34636688232422,169.5507049560547,1.2023347616195679,589.8994140625,1.3630648851394653,2.1436922550201416,0.6272656321525574,2.491896867752075,1336795.1980337694
1000,1.8652799129486084,1.9947857856750488,8.465422630310059,1.0750327110290527,76.90718078613281,181.0263671875,1.167262077331543,627.848876953125,73.0537109375,178.14112854003906,1.173485517501831,756.554931640625,65.12753295898438,165.56053161621094,1.3650891780853271,31042.068359375,1.3010538816452026,2.0065059661865234,0.7764068245887756,2.8926491737365723,1966369.3930109695
1500,1.8665331602096558,1.9948891401290894,8.566976547241211,1.074255108833313,76.94275665283203,180.50643920898438,1.1763478517532349,2001.8502197265625,71.6495361328125,176.81443786621094,1.2009154558181763,4746.294921875,62.55876922607422,161.48936462402344,1.5173430442810059,2697.937744140625,1.2615628242492676,1.9075963497161865,0.9052414894104004,3.2600159645080566,2659769.4122138596
2000,1.8648861646652222,1.9947530031204224,8.62157917022705,1.075277328491211,76.35011291503906,180.19349670410156,1.188917636871338,4017.19677734375,69.77564239501953,175.69219970703125,1.2344802618026733,2742.197265625,60.80987548828125,158.60794067382812,1.6535636186599731,491.99017333984375,1.2508935928344727,1.8686929941177368,1.01555597782135,3.5903265476226807,3399910.6081941114
2500,1.8644545078277588,1.9947171211242676,8.636999130249023,1.0755459070205688,75.87889099121094,179.95436096191406,1.1986517906188965,17222.259765625,68.98469543457031,174.83200073242188,1.260170578956604,1244.828857421875,58.53041458129883,156.4783935546875,1.804313063621521,4284.90869140625,1.2602452039718628,1.8664686679840088,1.1420785188674927,3.967761278152466,4301432.276367083
3000,1.8634756803512573,1.9946348667144775,8.637274742126465,1.0761553049087524,76.21302032470703,179.83323669433594,1.2002304792404175,1762.4085693359375,67.274169921875,174.23985290527344,1.29330313205719,15771.4638671875,57.815528869628906,155.0738525390625,1.9404869079589844,817.23388671875,1.3111786842346191,1.9327152967453003,1.2472355365753174,4.255746841430664,5191835.10797181
3500,1.8632344007492065,1.9946144819259644,8.637334823608398,1.0763057470321655,76.1632308959961,179.7702178955078,1.2040424346923828,813.0966186523438,66.59998321533203,173.9281463623047,1.314254879951477,921.5225219726562,57.44908905029297,154.309814453125,2.0625853538513184,1844.411376953125,1.3534517288208008,1.971826195716858,1.3484915494918823,4.531235218048096,6082488.3836275395
4000,1.8632185459136963,1.9946130514144897,8.636772155761719,1.0763154029846191,76.07898712158203,179.76808166503906,1.2077194452285767,726.7493896484375,66.58414459228516,173.7059326171875,1.327019453048706,336.4095458984375,57.4821891784668,154.34219360351562,2.1590240001678467,1472.9676513671875,1.359933614730835,1.9620686769485474,1.4574657678604126,4.8499908447265625,6969002.602800477
4500,1.8631372451782227,1.9946061372756958,8.636555671691895,1.0763661861419678,76.02936553955078,179.72068786621094,1.2108455896377563,5687.10302734375,66.62921905517578,173.54383850097656,1.3357125520706177,470.0710144042969,57.68868637084961,154.66171264648438,2.201864242553711,2424.265869140625,1.3588393926620483,1.95215904712677,1.5177444219589233,5.0271100997924805,7468811.781436531
4999,1.863116979598999,1.9946045875549316,8.636552810668945,1.0763789415359497,76.00566864013672,179.70225524902344,1.2117806673049927,8528.87890625,66.65132904052734,173.52206420898438,1.337484359741211,567.259765625,57.727535247802734,154.73045349121094,2.2082395553588867,5017.76171875,1.358823537826538,1.9507725238800049,1.5278990268707275,5.056268215179443,7556383.422408661
