Epoch,stable_rank_layer_0,effective_rank_layer_0,spectral_norm_layer_0,condition_number_layer_0,stable_rank_layer_1,effective_rank_layer_1,spectral_norm_layer_1,condition_number_layer_1,stable_rank_layer_2,effective_rank_layer_2,spectral_norm_layer_2,condition_number_layer_2,stable_rank_layer_3,effective_rank_layer_3,spectral_norm_layer_3,condition_number_layer_3,stable_rank_layer_4,effective_rank_layer_4,spectral_norm_layer_4,condition_number_layer_4,end_to_end_bound
0,1.882995843887329,1.9961402416229248,7.336071491241455,1.064193606376648,77.88463592529297,182.55279541015625,1.1332296133041382,1119.486328125,76.5114974975586,182.20901489257812,1.1452317237854004,4478.97119140625,75.48503112792969,181.2815399169922,1.1517757177352905,588.086669921875,1.8438235521316528,2.732632875442505,0.915947675704956,1.606065273284912,10.044155388607836
500,1.9561517238616943,1.9994975328445435,15.794635772705078,1.0226725339889526,60.13893127441406,167.0395050048828,1.603772521018982,2725.97021484375,59.99103927612305,166.6739959716797,1.60305655002594,269.5502014160156,59.623558044433594,169.72962951660156,1.5284037590026855,10337.5703125,1.0663765668869019,1.3050451278686523,7.81821870803833,8.19446849822998,485.2294357438369
1000,1.9433825016021729,1.9991514682769775,18.59980583190918,1.029570460319519,59.17040252685547,145.89306640625,2.2030222415924072,655.2056274414062,55.5372428894043,144.9136505126953,2.2559502124786377,1329.1744384765625,47.219844818115234,141.20179748535156,2.20436692237854,1079.8741455078125,1.071706771850586,1.3266501426696777,9.904786109924316,7.578461647033691,2018.3003255393965
1500,1.9122406244277954,1.997894287109375,21.899290084838867,1.0469967126846313,56.07001495361328,142.81617736816406,2.6037609577178955,592.0768432617188,55.115928649902344,142.99020385742188,2.5915374755859375,11592.01171875,45.790382385253906,135.0428924560547,2.525669574737549,1074.9482421875,1.0851985216140747,1.3750900030136108,13.106561660766602,6.970726490020752,4891.633922962001
2000,1.9128811359405518,1.997926115989685,22.060741424560547,1.0466293096542358,55.143253326416016,144.12001037597656,3.2791991233825684,4160.14404296875,53.090843200683594,141.50079345703125,3.2025704383850098,761.4359741210938,40.10222244262695,124.80340576171875,3.02701997756958,3192.169677734375,1.075775384902954,1.342623233795166,14.405272483825684,7.219547271728516,10102.371821194867
2500,1.9182459115982056,1.9981838464736938,22.20219612121582,1.043567419052124,56.19772720336914,141.12667846679688,3.9297006130218506,4485.59912109375,51.623348236083984,135.83668518066406,3.825550079345703,3130.135986328125,36.21669387817383,115.70477294921875,3.516334295272827,1806.1729736328125,1.069571614265442,1.3192566633224487,14.82040023803711,7.612616539001465,17393.996548109855
3000,1.9208283424377441,1.9983012676239014,22.356412887573242,1.0421030521392822,57.24378204345703,136.74716186523438,4.51350736618042,2572.550537109375,49.525657653808594,129.93760681152344,4.42478084564209,3185.429931640625,34.07149124145508,109.33572387695312,3.8996846675872803,582.563720703125,1.0689574480056763,1.3158445358276367,14.964476585388184,7.8320393562316895,26055.47919342519
3500,1.921573281288147,1.9983344078063965,22.511043548583984,1.0416817665100098,55.554908752441406,132.42201232910156,5.136547088623047,4789.732421875,48.32765579223633,125.25281524658203,4.923028469085693,21792.306640625,32.818214416503906,104.803955078125,4.194210052490234,4496.23828125,1.0673671960830688,1.3091936111450195,15.074317932128906,8.05195140838623,35990.43507555172
4000,1.9223356246948242,1.9983680248260498,22.656269073486328,1.0412511825561523,54.31819152832031,129.4310302734375,5.61415433883667,813.2996215820312,46.112060546875,121.88240814208984,5.388669490814209,3363.072998046875,31.966297149658203,101.21356964111328,4.454163551330566,2056.0791015625,1.0668050050735474,1.3058514595031738,15.578166007995605,8.310710906982422,47559.4448095095
4500,1.923292875289917,1.998409390449524,22.75774574279785,1.0407112836837769,53.43324661254883,127.70176696777344,5.92627477645874,13772.8896484375,44.5106201171875,119.82572937011719,5.724207878112793,2240.443115234375,31.650226593017578,98.7082290649414,4.638869762420654,5098.3623046875,1.0646148920059204,1.2966662645339966,16.3409481048584,8.653059005737305,58521.55435275218
4999,1.9235155582427979,1.998419165611267,22.81444549560547,1.0405857563018799,53.003116607666016,126.906005859375,6.083568572998047,2124.68408203125,43.83511734008789,118.81378173828125,5.904679298400879,2281.670654296875,31.199230194091797,97.10934448242188,4.787181854248047,4275.583984375,1.0621267557144165,1.286652684211731,17.04106330871582,8.978242874145508,66856.13339431158
